epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,25000,107,1.2803738317757005,0.0,6.0,1,0,0,0,0,0,32.12,32.12,778.3312577833126
1,train,125000,522,1.4176245210727967,0.0,6.0,0.8875009,125000,125000,0.0367693,0.0030189283858301241,31242,1016.85,984.73,126.93834858286027
1,test,62500,265,1.954716981132075,0.0,5.0,0.05,125000,125000,0.0367693,0,31242,1492.89,476.01,131.2997626100292
2,train,125000,513,1.5048732943469796,0.0,9.0,0.7750009,250000,250000,0.0541083,0.0015382212120151598,62492,2754.84,1261.95,99.05305281508775
2,test,62500,150,1.0933333333333337,0.0,5.0,0.05,250000,250000,0.0541083,0,62492,3208.02,453.1500000000001,137.92342491448744
3,train,125000,517,1.4719535783365558,0.0,9.0,0.6625009,375000,375000,0.0941333,0.001037549269670558,93742,4548.61,1340.5900000000001,93.24252754384263
3,test,62500,154,1.0909090909090915,0.0,7.0,0.05,375000,375000,0.0941333,0,93742,4987.53,438.90000000000055,142.4014581909317
4,train,125000,511,1.5225048923679063,0.0,7.0,0.5500008999999999,500000,500000,0.164257,0.00079622802691392948,124992,6433.83,1446.3000000000002,86.42743552513309
4,test,62500,131,1.893129770992367,0.0,5.0,0.05,500000,500000,0.164257,0,124992,6873.549999999999,439.6899999999996,142.1456025836386
5,train,125000,506,1.5316205533596845,0.0,6.0,0.43750089999999997,625000,625000,0.209094,0.00065543888660240374,156242,8422.75,1549.1999999999998,80.68680609346761
5,test,62500,265,1.9207547169811312,0.0,5.0,0.05,625000,625000,0.209094,0,156242,8838.560000000001,415.7900000000009,150.3162654224485
6,train,125000,513,1.4502923976608177,0.0,7.0,0.32500090000000004,750000,750000,0.236659,0.00054259059139554497,187492,10460.560000000001,1621.9900000000016,77.0658265464028
6,test,62500,157,1.3057324840764333,0.0,7.0,0.05,750000,750000,0.236659,0,187492,10873.27,412.6800000000003,151.44906465057662
7,train,125000,484,1.6384297520661184,0.0,8.0,0.2125009,875000,875000,0.302994,0.00047846300934337518,218742,12612.86,1739.58,71.856425114108
7,test,62500,228,2.2456140350877183,0.0,4.0,0.05,875000,875000,0.302994,0,218742,12998.210000000001,385.3199999999997,162.20284438907933
8,train,125000,468,1.6773504273504278,0.0,7.0,0.10000090000000006,1000000,1000000,0.299285,0.00041308647270137604,249992,14791.060000000001,1792.8400000000001,69.72178220030789
8,test,62500,228,2.2192982456140355,0.0,4.0,0.05,1000000,1000000,0.299285,0,249992,15167.4,376.3099999999995,166.08647126039725
9,train,125000,461,1.594360086767895,0.0,8.0,0.1,1125000,1000000,0.314877,0.00036106328074873801,281242,17039.809999999998,1872.4099999999999,66.7588829369636
9,test,62500,133,2.1578947368421053,0.0,9.0,0.05,1125000,1000000,0.314877,0,281242,17438.239999999998,398.3899999999994,156.88144782750595
10,train,125000,448,1.7879464285714275,0.0,7.0,0.1,1250000,1000000,0.405099,0.00033354486089985901,312492,19301.35,1863.0999999999985,67.09248027481085
10,test,62500,156,0.9871794871794872,0.0,5.0,0.05,1250000,1000000,0.405099,0,312492,19721.649999999998,420.2599999999984,148.717460619617
11,train,125000,455,1.7362637362637368,0.0,6.0,0.1,1375000,1000000,0.396956,0.00020566843304303659,343742,21559.25,1837.5900000000001,68.02387910252014
11,test,62500,232,2.1724137931034497,0.0,4.0,0.05,1375000,1000000,0.396956,0,343742,22004.8,445.52999999999884,140.2823603348824
12,train,125000,461,1.6724511930585688,0.0,8.0,0.1,1500000,1000000,0.441866,0.00012491846621110963,374992,23807.789999999997,1802.9799999999996,69.32966533183952
12,test,62500,320,0.7343750000000003,0.0,5.0,0.05,1500000,1000000,0.441866,0,374992,24244.53,436.72999999999956,143.10901472305557
13,train,125000,457,1.7374179431072194,0.0,7.0,0.1,1625000,1000000,0.44702,8.8603283510058019e-05,406242,26046.59,1802.0600000000013,69.36505998690383
13,test,62500,130,2.076923076923077,0.0,7.0,0.05,1625000,1000000,0.44702,0,406242,26492.96,446.34000000000015,140.0277815118519
14,train,125000,466,1.6673819742489264,0.0,6.0,0.1,1750000,1000000,0.462174,7.0113680210073364e-05,437492,28298.6,1805.630000000001,69.22791491058518
14,test,62500,217,2.33179723502304,0.0,10.0,0.05,1750000,1000000,0.462174,0,437492,28731.75,433.1200000000026,144.3018101219053
15,train,125000,481,1.6320166320166316,0.0,8.0,0.1,1875000,1000000,0.475437,5.908234661150265e-05,468742,30496.01,1764.25,70.85163667280715
15,test,62500,218,1.7155963302752295,0.0,9.0,0.05,1875000,1000000,0.475437,0,468742,30929.609999999997,433.5699999999997,144.15204003967074
16,train,125000,485,1.6577319587628867,0.0,7.0,0.1,2000000,1000000,0.480793,5.1882439865369391e-05,499992,32718.67,1789.0600000000013,69.86909326685517
16,test,62500,293,0.9795221843003412,0.0,6.0,0.05,2000000,1000000,0.480793,0,499992,33171.170000000006,452.4700000000048,138.1307047981067
17,train,125000,490,1.581632653061224,0.0,8.0,0.1,2125000,1000000,0.508217,4.8908434048424501e-05,531242,34963.26,1792.0899999999965,69.75096116824504
17,test,62500,233,1.7553648068669523,0.0,8.0,0.05,2125000,1000000,0.508217,0,531242,35397.03,433.73999999999796,144.09554110757665
18,train,125000,474,1.7004219409282704,0.0,9.0,0.1,2250000,1000000,0.433531,4.8652642288992989e-05,562492,37160.14,1763.1100000000006,70.89744825904224
18,test,62500,281,1.2491103202846976,0.0,8.0,0.05,2250000,1000000,0.433531,0,562492,37596.03,435.8599999999933,143.3946680126668
19,train,125000,448,1.9040178571428574,0.0,7.0,0.1,2375000,1000000,0.477319,5.134350535560802e-05,593742,39364.020000000004,1767.9800000000032,70.70215726422232
19,test,62500,228,2.24561403508772,2.0,4.0,0.05,2375000,1000000,0.477319,0,593742,39791.07,427.02999999999884,146.35974053345237
20,train,125000,447,2.029082774049215,0.0,7.0,0.1,2500000,1000000,0.680965,5.198261201994446e-05,624992,41586.36,1795.2799999999988,69.62702196871801
20,test,62500,142,1.9014084507042253,0.0,6.0,0.05,2500000,1000000,0.680965,0,624992,41989.3,402.91999999999825,155.11764121910124
